exp_id,d0_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,n_train_seeds,success_rate__mean,success_rate__std,success_rate__ci95,mean_final_distance__mean,mean_final_distance__std,mean_final_distance__ci95,mean_tau_l1__mean,mean_tau_l1__std,mean_tau_l1__ci95,mean_filter_intervention_rate__mean,mean_filter_intervention_rate__std,mean_filter_intervention_rate__ci95,mean_pi_value__mean,mean_pi_value__std,mean_pi_value__ci95,mean_return__mean,mean_return__std,mean_return__ci95,mean_ep_len__mean,mean_ep_len__std,mean_ep_len__ci95,mean_d0__mean,mean_d0__std,mean_d0__ci95,episodes_in_bin__mean_per_seed,episodes_in_bin__total
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,0,tau_l1,0.0,none,5,0.4878787878787879,0.155404623090401,0.13621815808916507,0.2854483860846106,0.06839041388534318,0.05994684086713336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.39588983070068,12.864011709124687,11.275803420822772,134.24848484848485,20.137368581986948,17.651181814618212,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,0,tau_l1,0.0,none,5,0.4636363636363637,0.1233709271868017,0.10813938561765127,0.33209404800147474,0.12000595522982356,0.10518985765068328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.6531047020231,9.216881050801412,8.078952447487685,143.46969696969697,8.659664208599166,7.590530350437864,0.7906963271951564,0.0,0.0,66.0,330.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,0,tau_l1,0.0,none,5,0.3205882352941176,0.1875792796637452,0.16442048803544265,0.472038479844776,0.1512566993112716,0.13258234259120155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.32820654438262,21.965316612554066,19.25344890844671,171.8705882352941,17.452274888647825,15.297593421107411,1.0991447869486801,0.0,0.0,68.0,340.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.3363636363636363,0.15052708129720957,0.13194280420419754,0.38565620811462276,0.15212415889470537,0.13334270444094787,0.0,0.0,0.0,0.1725064956723314,0.27321311442287716,0.23948185370804076,0.0,0.0,0.0,-72.09426294848632,23.251248659448365,20.38061804519674,155.1969696969697,13.863358997059809,12.151769940652343,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.35757575757575755,0.1576777059484569,0.13821060306249325,0.31466436454234825,0.13778352297315655,0.12077258283057374,0.0,0.0,0.0,0.1872815211875925,0.30821178851123354,0.2701595441465395,0.0,0.0,0.0,-80.3298015466749,15.103558416651287,13.238852662134377,154.79090909090908,18.745435318255236,16.431098514662093,0.7906963271951564,0.0,0.0,66.0,330.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.2235294117647059,0.11457383047519092,0.10042839036694505,0.4957218869753783,0.17636285538360183,0.15458885867072977,0.0,0.0,0.0,0.2631703778175009,0.3015615896531145,0.2643303878359664,0.0,0.0,0.0,-109.95623538179616,21.042206221181416,18.444306974795204,176.62058823529412,10.888722301372246,9.544385915562627,1.0991447869486801,0.0,0.0,68.0,340.0
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,1,tau_l1,0.0005,none,5,0.4878787878787879,0.155404623090401,0.13621815808916507,0.2854483860846106,0.06839041388534318,0.05994684086713336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.39588983070068,12.864011709124687,11.275803420822772,134.24848484848485,20.137368581986948,17.651181814618212,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,1,tau_l1,0.0005,none,5,0.4636363636363637,0.1233709271868017,0.10813938561765127,0.33209404800147474,0.12000595522982356,0.10518985765068328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.6531047020231,9.216881050801412,8.078952447487685,143.46969696969697,8.659664208599166,7.590530350437864,0.7906963271951564,0.0,0.0,66.0,330.0
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,1,tau_l1,0.0005,none,5,0.3205882352941176,0.1875792796637452,0.16442048803544265,0.472038479844776,0.1512566993112716,0.13258234259120155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.32820654438262,21.965316612554066,19.25344890844671,171.8705882352941,17.452274888647825,15.297593421107411,1.0991447869486801,0.0,0.0,68.0,340.0
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",residual,0,tau_l1,0.0,none,5,0.8818181818181818,0.06893523130955953,0.060424394395116,0.05785710967502729,0.006921537940247484,0.006066995502549003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.630469191428658,1.45938576893839,1.27920802761888,50.47878787878788,11.367436738252097,9.963997620450787,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0
