exp_id,train_seed,eval_seed_base,d0_bin,success_rate,mean_final_distance,mean_return,mean_ep_len,mean_tau_l1,mean_pi_value,mean_filter_intervention_rate,mean_filter_delta_tau_norm,mean_d0,episodes_in_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.087,0.642)",0.5151515151515151,0.32542355334848083,-58.668816335393586,147.12121212121212,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.087,0.642)",0.5454545454545454,0.2900338867227276,-48.462115320289605,129.37878787878788,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.087,0.642)",0.4696969696969697,0.21244781784086608,-52.20820795204662,128.43939393939394,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.087,0.642)",0.6666666666666666,0.22431431478973252,-45.07535920363277,106.72727272727273,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.087,0.642)",0.24242424242424243,0.375022357721246,-77.56495034214082,159.57575757575756,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.642,0.924)",0.4696969696969697,0.2703723232895425,-69.81061479465097,137.8030303030303,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.642,0.924)",0.6363636363636364,0.19403769822241676,-65.37688783051264,132.5151515151515,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.642,0.924)",0.3787878787878788,0.4074569909346705,-76.00586958291704,151.42424242424244,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.642,0.924)",0.5151515151515151,0.29106050157468905,-68.45339798921185,142.95454545454547,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.642,0.924)",0.3181818181818182,0.49754272598605465,-88.61875331282295,152.65151515151516,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.924,1.367]",0.3235294117647059,0.4878974122251769,-99.48425451414184,177.3235294117647,0.0,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.924,1.367]",0.39705882352941174,0.41514437808603993,-91.90381164028256,164.16176470588235,0.0,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.924,1.367]",0.5588235294117647,0.30195056475998855,-83.0265251550015,148.7941176470588,0.0,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.924,1.367]",0.27941176470588236,0.44193585116065126,-93.03144945759979,172.7941176470588,0.0,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.924,1.367]",0.04411764705882353,0.7132641929920233,-139.1949919548874,196.27941176470588,0.0,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.087,0.642)",0.15151515151515152,0.5995875133168383,-108.9140565280857,172.5909090909091,0.0,0.0,0.6558333333333333,1.1475880250876602,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.087,0.642)",0.5606060606060606,0.27195341483782975,-49.747265851733076,134.25757575757575,0.0,0.0,0.022222087181980224,0.008373995264984554,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.087,0.642)",0.3181818181818182,0.4437042389906222,-79.23188293616076,157.6818181818182,0.0,0.0,0.07992424242424243,0.10284628236947385,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.087,0.642)",0.2727272727272727,0.21171075227082362,-57.901864926377,158.96969696969697,0.0,0.0,0.0027316480836922074,0.0007174623217229848,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
