mode,seed,episode_idx,success,final_distance,length,return,tau_effort,tau_sum_total,energy,step,theta1,theta2,target_x,target_y,action0,action1,distance,tau1,tau2,tau_sum,omega1,omega2,power,cumulative_energy,reward,done
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,1,0.0,0.0,0.5174786448478699,-0.0853380635380745,-0.10000000149011612,0.10000000149011612,0.2810564669207761,20.0,20.0,40.0,7.982832352459283,-60.40485961639346,1367.7538393770549,5.6989743307377285,-0.2811978882835338,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,2,-0.10000000149011612,0.10000000149011612,0.5174786448478699,-0.0853380635380745,-0.10000000149011612,0.10000000149011612,0.21387286287602866,20.0,5.037245793544495,25.037245793544496,9.469114313660032,-54.80779079813605,465.4625999245781,7.63840183042347,-0.21401428423878635,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,3,-0.20000000298023224,0.20000000298023224,0.5174786448478699,-0.0853380635380745,-0.10000000149011612,0.10000000149011612,0.18289710026968362,20.0,6.733695942008233,26.733695942008232,10.78344106765769,-46.92701168255966,531.6610494905788,9.853656203300883,-0.1830385216324413,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,4,-0.30000001192092896,0.30000001192092896,0.5174786448478699,-0.0853380635380745,-0.10000000149011612,0.10000000149011612,0.1832777620862929,2.950715666724168,5.059546467247723,8.010262133971892,10.56048150491132,-39.83440688708858,232.70501086517007,10.82326041523909,-0.1834191834490506,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,5,-0.4000000059604645,0.4000000059604645,0.5174786448478699,-0.0853380635380745,-0.10000000149011612,0.10000000149011612,0.197790394224131,20.0,2.991189901065091,22.99118990106509,8.253685263113532,-33.45086975406925,265.1316090524863,11.927975452957783,-0.1979318155868887,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,6,-0.5,0.5,0.5174786448478699,-0.0853380635380745,-0.05779298022389412,0.10000000149011612,0.21588863885470302,20.0,2.569219485558395,22.569219485558396,5.993375705575207,-27.705782742899544,191.04975099720917,12.724016082112822,-0.21600413789667758,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,7,-0.5577929615974426,0.6000000238418579,0.5174786448478699,-0.0853380635380745,-0.033433813601732254,0.10000000149011612,0.23247007892002203,20.0,2.184777786763342,22.18477778676334,3.7747712343009976,-22.535204432846804,124.72983875107445,13.243723743575632,-0.23257551999856568,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,8,-0.5912268161773682,0.699999988079071,0.5174786448478699,-0.0853380635380745,-0.0671415627002716,0.10000000149011612,0.2456788247550678,20.0,1.835045046433397,21.835045046433397,1.5934336900248924,-17.881683953799335,64.68236936180487,13.513233615916485,-0.245799273873384,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,9,-0.6583683490753174,0.800000011920929,0.5174786448478699,-0.0853380635380745,-0.018301744014024734,0.10000000149011612,0.256603280932171,4.287020760807641,2.6270823930393936,6.9141031538470346,0.9028243163977931,-13.693375453096515,39.84405214186699,13.679250499840931,-0.25670494191394533,False
pure,0,14,1,0.049557969181566915,50,-7.252602781473274,9.005330604340822,450.26653021704107,18.67468703482426,10,-0.6766701340675354,0.9000000357627869,0.5174786448478699,-0.0853380635380745,-0.08629678189754486,0.10000000149011612,0.26344250604329944,20.0,1.2334780289052742,21.233478028905274,-1.2167576164511444,-9.924177941584174,36.576407774913335,13.83165219890307,-0.26357459364651087,False
