seed,mode_norm,success_rate,final_distance,episode_length,episode_return,n_episodes,mode_label
0,pirl,0.57,0.09144902071699272,104.41,-22.12818351669575,100,PIRL (PI-reward)
0,pure,0.5,0.10729068207446427,115.2,-23.98591221089807,100,RL puro
1,pirl,0.42,0.10264717157024568,128.14,-27.049090072269355,100,PIRL (PI-reward)
1,pure,0.43,0.12176653204651298,127.1,-28.943259547336112,100,RL puro
2,pirl,0.55,0.09895542777169186,108.09,-23.192175779646345,100,PIRL (PI-reward)
2,pure,0.34,0.10519115260461892,141.65,-25.624424103892764,100,RL puro
3,pirl,0.57,0.11414050101181238,102.24,-25.22937662867045,100,PIRL (PI-reward)
3,pure,0.23,0.47997913891155636,159.42,-87.31174963678355,100,RL puro
4,pirl,0.66,0.07151582848242855,90.32,-17.842374677936107,100,PIRL (PI-reward)
4,pure,0.71,0.07711149160682286,81.5,-18.31577842904921,100,RL puro
