mode,train_seed,d0_bin,n,success_rate,mean_final_distance,mean_length,mean_tau_effort
pirl,0,"(0.069, 0.3]",22.0,0.5454545454545454,0.18494429433598422,97.72727272727273,18.247107980844113
pirl,0,"(0.3, 0.5]",48.0,0.25,0.2234510763326268,153.45833333333334,18.539503663185716
pirl,0,"(0.5, 0.7]",88.0,0.3409090909090909,0.1976694791521127,139.63636363636363,17.202157014909698
pirl,0,"(0.7, 0.9]",94.0,0.3191489361702128,0.27248318446448083,148.2340425531915,15.44169404236249
pirl,0,"(0.9, 1.1]",88.0,0.09090909090909091,0.34999298756119895,183.8409090909091,12.643953726238367
pirl,0,"(1.1, 1.4]",60.0,0.0,0.4872595444598945,200.0,10.266530216550644
pirl,0,,,,,,
pirl,1,"(0.069, 0.3]",22.0,0.6363636363636364,0.09510126253577665,85.54545454545455,15.350567654481312
pirl,1,"(0.3, 0.5]",44.0,0.8181818181818182,0.08357415565443806,55.31818181818182,14.053541161515646
pirl,1,"(0.5, 0.7]",86.0,0.27906976744186046,0.24744284127978253,153.06976744186048,5.7419755720905155
pirl,1,"(0.7, 0.9]",92.0,0.2391304347826087,0.21766164365825597,156.41304347826087,5.844206983204307
pirl,1,"(0.9, 1.1]",92.0,0.2608695652173913,0.210428541035452,153.34782608695653,6.1989850984140675
pirl,1,"(1.1, 1.4]",64.0,0.15625,0.4055169068441402,171.625,5.077239477184364
pirl,1,,,,,,
pirl,2,"(0.069, 0.3]",20.0,0.7,0.059312442036652,70.5,12.904793933564994
pirl,2,"(0.3, 0.5]",42.0,0.2857142857142857,0.10956702296370383,147.0,7.185761567577319
pirl,2,"(0.5, 0.7]",92.0,0.13043478260869565,0.17841686884469551,176.15217391304347,3.8605250377201057
pirl,2,"(0.7, 0.9]",88.0,0.38636363636363635,0.208084079100893,134.6590909090909,6.302939821997623
pirl,2,"(0.9, 1.1]",88.0,0.1590909090909091,0.25430218747263866,174.1590909090909,3.6513463771769676
pirl,2,"(1.1, 1.4]",70.0,0.2857142857142857,0.24377946760180777,151.68571428571428,5.256835052538966
pirl,2,,,,,,
pirl,3,"(0.069, 0.3]",20.0,1.0,0.0425234224540952,14.5,16.314960100001784
pirl,3,"(0.3, 0.5]",50.0,0.52,0.07606161928151824,105.48,17.92951384973219
pirl,3,"(0.5, 0.7]",88.0,0.36363636363636365,0.10181116823825348,136.97727272727272,19.04591286956243
pirl,3,"(0.7, 0.9]",94.0,0.23404255319148937,0.13008588302881624,162.40425531914894,13.420631136243541
pirl,3,"(0.9, 1.1]",88.0,0.20454545454545456,0.18494736556161648,163.9090909090909,10.505396534418036
pirl,3,"(1.1, 1.4]",60.0,0.1,0.2912813796071524,182.1,10.776467391032885
pirl,3,,,,,,
