mode,train_seed,n_episodes,success_rate,mean_d0,std_d0,mean_final_distance,std_final_distance,mean_return,std_return,mean_length,std_length,mean_tau_effort,std_tau_effort,mean_sum_r_dist,mean_sum_r_act,mean_sum_r_tau,mean_mean_r_dist,mean_mean_r_act,mean_mean_r_tau
pirl,0,400.0,0.23,0.7865578254075664,0.2858498149520283,0.29459428804346005,0.23709182885851982,-62.635030880297435,43.144295493181815,159.79,73.97375142575913,14.963253374019068,6.64166358307852,,,,,,
pirl,1,400.0,0.325,0.7914303393629605,0.2877196483943924,0.2309673850112244,0.2502494593534225,-49.59133611144486,44.64875276707038,142.405,83.27755384856114,7.206987991884378,7.435598640713848,,,,,,
pirl,2,400.0,0.265,0.793053262784315,0.2819053083228889,0.19989242482379477,0.16853066888017373,-46.40945204516989,32.15353109804591,153.96,76.96036902198428,5.397554517962221,5.635557879822235,,,,,,
pirl,3,400.0,0.31,0.7873161915168692,0.2862583900952987,0.14898314042171062,0.11478438491119825,-37.75515293072214,26.381217044488857,145.585,81.54583235825116,14.32854373076448,7.936454372664782,,,,,,
pirl,4,400.0,0.39,0.7929769444638163,0.28231743447782337,0.1626593924308603,0.12986153423557964,-39.61689133719337,29.34051587744852,132.27,84.94343470804557,14.916577620619737,6.54406067450518,,,,,,
pure,0,400.0,0.395,0.7874776713692724,0.28646071087149394,0.19226375844590507,0.1707433166671746,-42.73444734590934,35.49575057954431,130.88,85.79898367696437,14.545555747887292,7.377002258865758,,,,,,
pure,1,400.0,0.44,0.7930618415212455,0.28238357217881466,0.13066992805278968,0.11360297440429445,-32.947873828210525,25.746924377093702,123.545,86.4473711283345,7.3100309734751026,5.7729697593963305,,,,,,
pure,2,400.0,0.44,0.7930497298243517,0.2823365415633984,0.12551777294589722,0.1089406540816057,-32.13481410527268,25.728012269861146,123.995,86.20629312875016,19.422831925521088,2.7720223781692273,,,,,,
pure,3,400.0,0.245,0.7874234913704808,0.2853024522718419,0.1717912433313861,0.12435361852959705,-41.34225051770889,25.323898621711866,156.905,75.80861412135168,20.06710056601051,2.534292383280401,,,,,,
pure,4,400.0,0.51,0.7930331068643629,0.2822929758168001,0.11628318227421808,0.09947797747015971,-29.4355818555686,24.09689713581401,110.605,87.91546493649453,16.657572349958503,5.375078193500727,,,,,,
