exp_id,d0_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,n_train_seeds,success_rate__mean,success_rate__std,success_rate__ci95,mean_final_distance__mean,mean_final_distance__std,mean_final_distance__ci95,mean_tau_l1__mean,mean_tau_l1__std,mean_tau_l1__ci95,mean_pi_value__mean,mean_pi_value__std,mean_pi_value__ci95,mean_filter_intervention_rate__mean,mean_filter_intervention_rate__std,mean_filter_intervention_rate__ci95,mean_filter_delta_tau_norm__mean,mean_filter_delta_tau_norm__std,mean_filter_delta_tau_norm__ci95,mean_return__mean,mean_return__std,mean_return__ci95,mean_ep_len__mean,mean_ep_len__std,mean_ep_len__ci95,mean_d0__mean,mean_d0__std,mean_d0__ci95,episodes_in_bin__mean_per_seed,episodes_in_bin__total,config_id
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,0,tau_l1,0.0,none,5,0.4878787878787879,0.155404623090401,0.13621815808916507,0.2854483860846106,0.06839041388534318,0.05994684086713336,1.2185869888000693,0.4916559807940302,0.43095546828311476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.39588983070068,12.864011709124687,11.275803420822772,134.24848484848485,20.137368581986948,17.651181814618212,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,0,tau_l1,0.0,none,5,0.4636363636363637,0.1233709271868017,0.10813938561765127,0.33209404800147474,0.12000595522982356,0.10518985765068328,1.235058778063698,0.37367254219879026,0.3275384246272082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.6531047020231,9.216881050801412,8.078952447487685,143.46969696969697,8.659664208599166,7.590530350437864,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,0,tau_l1,0.0,none,5,0.3205882352941176,0.1875792796637452,0.16442048803544265,0.472038479844776,0.1512566993112716,0.13258234259120155,1.287256849995484,0.3973640427324995,0.348304940454688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.32820654438262,21.965316612554066,19.25344890844671,171.8705882352941,17.452274888647825,15.297593421107411,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.3363636363636363,0.15052708129720957,0.13194280420419754,0.38565620811462276,0.15212415889470537,0.13334270444094787,0.930325737814959,0.21863711870466526,0.19164388425270235,0.0,0.0,0.0,0.1725064956723314,0.27321311442287716,0.23948185370804076,0.2731823673560297,0.49137084741541137,0.4307055378571543,-72.09426294848632,23.251248659448365,20.38061804519674,155.1969696969697,13.863358997059809,12.151769940652343,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.35757575757575755,0.1576777059484569,0.13821060306249325,0.31466436454234825,0.13778352297315655,0.12077258283057374,1.022992573047649,0.2741628089983129,0.24031429770642732,0.0,0.0,0.0,0.1872815211875925,0.30821178851123354,0.2701595441465395,0.3162128257985352,0.5957931340583307,0.5222357077265724,-80.3298015466749,15.103558416651287,13.238852662134377,154.79090909090908,18.745435318255236,16.431098514662093,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.2235294117647059,0.11457383047519092,0.10042839036694505,0.4957218869753783,0.17636285538360183,0.15458885867072977,1.0553416098349764,0.3182689383402143,0.27897502465212,0.0,0.0,0.0,0.2631703778175009,0.3015615896531145,0.2643303878359664,0.43176341527125467,0.6805024902117767,0.5964867321727958,-109.95623538179616,21.042206221181416,18.444306974795204,176.62058823529412,10.888722301372246,9.544385915562627,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,1,tau_l1,0.0005,none,5,0.3878787878787879,0.19302578368716464,0.1691945593039907,0.3712426317153372,0.17075061053238333,0.14966950916120025,1.479162794991891,0.5099448700872635,0.44698638656262873,1.479162794991891,0.5099448700872635,0.44698638656262873,0.0,0.0,0.0,0.0,0.0,0.0,-70.81854612053321,30.665664684614338,26.879640237524825,147.47878787878787,23.91972389056609,20.966562419953956,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,1,tau_l1,0.0005,none,5,0.44545454545454544,0.2095624897214558,0.18368962124010024,0.2934005809649632,0.11519603683573508,0.10097377828848317,1.5436495603193143,0.43836874329416625,0.384247145213029,1.5436495603193143,0.43836874329416625,0.384247145213029,0.0,0.0,0.0,0.0,0.0,0.0,-73.71967995236346,17.756076957497175,15.563887675547079,139.87575757575758,26.68170934192176,23.387549411015865,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,1,tau_l1,0.0005,none,5,0.27941176470588236,0.1577030190406413,0.1382327909660725,0.4648548416871937,0.11928902704100443,0.10456144238593063,1.5407318136828736,0.43986715426075856,0.3855605603346054,1.5407318136828736,0.43986715426075856,0.3855605603346054,0.0,0.0,0.0,0.0,0.0,0.0,-99.9310992678484,24.519180918472642,21.492009672237657,169.4205882352941,17.82392556830172,15.623359605074732,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",direct,1,tau_l1,0.0005,proj_box_jointlimit,5,0.43636363636363634,0.15905482996376616,0.1394177054838714,0.3641082579528431,0.13774731368328316,0.12074084398861278,1.09475134264516,0.42943523833269637,0.37641658285952717,1.09475134264516,0.42943523833269637,0.37641658285952717,0.20326857160857276,0.25850960520606575,0.22659365963033942,0.23717778771883874,0.2911863547792083,0.25523609349541876,-67.56413362949128,27.566353644454683,24.162974331193496,139.75151515151515,22.299006862878606,19.54594130904331,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",direct,1,tau_l1,0.0005,proj_box_jointlimit,5,0.3696969696969697,0.1888173039960531,0.16550566420885962,0.36210868961027987,0.09652399102825089,0.08460700851630953,1.1507945661076158,0.37684894500622157,0.3303226644469326,1.1507945661076158,0.37684894500622157,0.3303226644469326,0.19557258482455483,0.25377101874881114,0.2224401054675524,0.22249335944794776,0.3361181136326229,0.2946205166162051,-82.08856519026267,18.111463773241613,15.875397954245287,150.3242424242424,24.827833713504237,21.76255577564295,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
