exp_id,train_seed,eval_seed_base,episodes,source_file,success_rate,mean_final_distance,std_final_distance_ep,mean_return,std_return_ep,mean_ep_len,std_ep_len_ep,mean_d0,std_d0_ep,mean_tau_l1__mean_ep,mean_tau_l1__std_ep,mean_pi_value__mean_ep,mean_pi_value__std_ep,filter_intervention_rate__mean_ep,filter_intervention_rate__std_ep,mean_filter_delta_tau_norm__mean_ep,mean_filter_delta_tau_norm__std_ep,mean_r_dist,mean_r_act,mean_r_pi,sum_r_dist,sum_r_act,sum_r_pi,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,config_id
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.435,0.36249775944710794,0.36116133696458425,-76.22285880772293,41.222605890545736,154.315,66.94575749990571,0.7843683416229866,0.28918246245742785,0.9437256330925229,0.32041801951173354,0.0,0.0,0.0,0.0,0.0,0.0,-0.47279950595079534,-0.000772899261551023,0.0,-76.11604929523354,-0.10680951248940002,0.0,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed1__evalbase1000.csv,0.525,0.30089271158115116,0.31747658855185446,-68.81416699746082,36.171419775187374,142.24,63.188498412751436,0.7843683416229866,0.28918246245742785,1.4786773950795016,0.3729892908032777,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623975217036738,-0.0011714518422462883,0.0,-68.65055636102437,-0.16361063643644616,0.0,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed2__evalbase1000.csv,0.47,0.30723177891432324,0.30042006025270873,-70.53966413923852,40.96774397885661,142.945,70.66199517996976,0.7843683416229866,0.28918246245742785,1.7192190306859978,0.49879882773991463,0.0,0.0,0.0,0.0,0.0,0.0,-0.4763156165878935,-0.0013438720276121863,0.0,-70.36514353963238,-0.174520599606128,0.0,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed3__evalbase1000.csv,0.485,0.32033187879488056,0.30417323626399984,-69.09518268922265,41.1274853915434,141.145,70.10060233147915,0.7843683416229866,0.28918246245742785,1.372573244457154,0.5398980835234266,0.0,0.0,0.0,0.0,0.0,0.0,-0.46030122993992534,-0.0010990726050170844,0.0,-68.95331016226746,-0.1418725269552109,0.0,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed4__evalbase1000.csv,0.2,0.5304563032406971,0.32168696657627327,-102.16691947079977,52.25774671354106,169.77,62.55407389454359,0.7843683416229866,0.28918246245742785,0.7226568570023622,0.2919967076426457,0.0,0.0,0.0,0.0,0.0,0.0,-0.5675311277495138,-0.0005958926411066837,0.0,-102.07043798760704,-0.09648148319273457,0.0,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.095,0.6012177710094211,0.28753480151791677,-118.74595502545479,50.87102272168059,183.17,52.1388858443046,0.7843683416229866,0.28918246245742785,0.6565910700017787,0.2618499730726343,0.0,0.0,0.7298750000000002,0.24712692683077683,1.3907848734855655,0.5279974418292334,-0.6269116248827836,-0.0005956871322836215,0.0,-118.64501662315655,-0.10093840229823627,0.0,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed1__evalbase1000.csv,0.455,0.315527899795799,0.3036110070704098,-68.51741684923223,39.881827341802044,147.725,67.76243882548717,0.7843683416229866,0.28918246245742785,1.1638037313730933,0.4041544660918764,0.0,0.0,0.06248615806648803,0.09974921243320818,0.03306023807554547,0.06143773551331664,-0.44731954961432074,-0.000945758750332383,0.0,-68.39147823773382,-0.12593861149840585,0.0,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed2__evalbase1000.csv,0.31,0.4857815403078096,0.37228999930768714,-92.8361969777265,47.995090506951335,160.925,64.29931089762584,0.7843683416229866,0.28918246245742785,1.1023040350840012,0.24352426159718651,0.0,0.0,0.07605,0.09113272390768407,0.11641230659974175,0.14662519525437456,-0.5496140189358788,-0.000891410200279224,0.0,-92.69216947717807,-0.14402750054842792,0.0,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed3__evalbase1000.csv,0.31,0.20129680524590982,0.15156352396818706,-78.23655168793873,37.58644639001845,166.03,61.415129984025704,0.7843683416229866,0.28918246245742785,0.7982782529093264,0.35094966569779096,0.0,0.0,0.03447128272752874,0.10963342049612664,0.007424206096838826,0.028492728343911793,-0.4628085335478155,-0.0007022240197779247,0.0,-78.13560135561123,-0.10095033232748656,0.0,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,200,eval__ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed4__evalbase1000.csv,0.355,0.39443213638320557,0.3211477752775597,-80.08918602571724,42.1083568935084,153.885,68.36953812714104,0.7843683416229866,0.28918246245742785,1.2960788602745636,0.4851330249495816,0.0,0.0,0.13815742931460917,0.14020261106901297,0.15881825040847347,0.17376681721748435,-0.5030200498848396,-0.0010129227878699727,0.0,-79.94813873207225,-0.14104729364498605,0.0,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.07,0.5805379645258005,0.26578984132078903,-123.12331184736877,50.225586600160206,189.395,42.207658156253785,0.7843683416229866,0.28918246245742785,2.156780447896098,0.17394107087748592,2.156780447896098,0.17394107087748592,0.0,0.0,0.0,0.0,-0.6339850759195457,-0.0019023657531529014,-0.0010783902239480002,-122.56407703893642,-0.35824542132677223,-0.2009893871056195,direct,1,tau_l1,0.0005,none,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
