#{"t_start": 1774114133.0914402, "env_id": null}
r,l,t,is_success,final_distance
-90.842636,200,1.27135,0.0,0.5072315906973124
-101.901344,200,1.39685,0.0,0.8605553225180532
-119.191365,200,1.524405,0.0,0.07039368900200575
-118.976334,200,1.668857,0.0,0.4105600965836899
-187.467883,200,1.817889,0.0,1.0023465528731368
-127.828425,200,1.939399,0.0,0.6604507720083724
-200.468849,200,2.058906,0.0,1.2117975053982541
-155.267015,200,2.179516,0.0,0.7993160998668624
-186.855195,200,2.300557,0.0,0.8449251938491303
-126.502991,200,2.420621,0.0,0.8500633931559394
-35.463467,93,2.855593,1.0,0.04613540763339225
-201.666584,200,3.022781,0.0,0.6854246746057563
-127.987453,200,3.155309,0.0,0.4609814245171119
-328.828307,200,3.286627,0.0,1.8354991827696883
-170.030794,200,3.434305,0.0,0.9166823681191898
-128.073475,200,3.558316,0.0,0.41939419976180164
-68.048994,200,3.675853,0.0,0.050138965583017496
-178.415619,200,3.805382,0.0,1.2245057471338434
-140.126439,200,3.933416,0.0,0.7371718269618217
-185.180992,200,4.057953,0.0,1.210309899640453
-183.61911,200,4.179349,0.0,0.585421208883625
-185.72416,200,4.677096,0.0,0.37554092911564607
-120.496263,200,4.807632,0.0,0.6757510534318667
-195.566518,200,4.925668,0.0,1.39551910381755
-153.603575,200,5.041187,0.0,0.62860032170043
-149.316629,200,5.166299,0.0,0.3976460607026545
-111.742096,200,5.288816,0.0,0.6714134846369618
-46.229408,162,5.38639,1.0,0.04519445598538688
-214.337015,200,5.506766,0.0,1.3725968010233265
-121.092779,200,5.632791,0.0,1.3894185956447749
-130.776992,200,5.778859,0.0,0.5112995769309294
-86.180712,200,6.268332,0.0,0.8247550772905453
-114.372291,200,6.398861,0.0,0.7181763809074578
-192.368792,200,6.519896,0.0,0.730095102213689
-124.325207,200,6.638448,0.0,0.5358756111771411
-116.584117,200,6.752968,0.0,0.8094820968013379
-200.265615,200,6.86952,0.0,1.0146079135210753
-104.549814,200,6.990854,0.0,0.396807163456518
-155.006654,200,7.109003,0.0,0.3927435052738178
-132.495371,200,7.225048,0.0,0.6547828234334004
-149.067695,200,7.343642,0.0,0.6037173458313896
-32.318923,113,7.41064,1.0,0.04872612469421695
-167.190808,200,7.846212,0.0,0.8464375029184431
-90.079043,200,7.982723,0.0,0.7693633147941766
-90.423244,200,8.103219,0.0,0.33589865939280344
-142.090535,200,8.222271,0.0,0.702220132855468
-16.737329,52,8.255264,1.0,0.039422096353033585
-113.452664,200,8.378776,0.0,0.8506083155021021
-92.896681,200,8.517366,0.0,0.43680972082472513
-128.999636,200,8.641904,0.0,0.3877754990696297
-26.534418,68,8.682894,1.0,0.0360592746962066
-112.98722,200,8.805228,0.0,0.7070102402569347
-91.299376,200,8.927312,0.0,0.7686752836765914
-35.825827,80,8.97619,1.0,0.03594319197282989
-113.783916,200,9.392847,0.0,0.3448659332045431
-98.345172,200,9.536885,0.0,0.34697957115629546
-75.149686,200,9.659371,0.0,0.09047130128905237
-107.665035,200,9.775923,0.0,0.5393253712744076
-105.650224,200,9.893288,0.0,0.28001083315905156
-86.969085,200,10.012845,0.0,0.4493384510249481
-117.424226,200,10.131917,0.0,0.5111245642095753
-141.277728,171,10.233432,1.0,0.0459942189020505
-129.350409,200,10.345993,0.0,0.9589159368312737
-115.320749,200,10.465233,0.0,0.3139964816330153
-107.432287,200,10.894253,0.0,0.37109028672721167
-166.214554,200,11.045278,0.0,0.9804389383212417
-109.511545,200,11.1818,0.0,0.340096135311038
-36.009619,105,11.257064,1.0,0.049524081312597
-123.840186,200,11.38358,0.0,0.6833774473291656
-101.522055,200,11.509101,0.0,0.6110690079560273
-144.155975,200,11.62789,0.0,0.868550092346546
-150.050194,200,11.747758,0.0,0.42128453824992645
-138.889128,200,11.865249,0.0,0.7789219163130152
-129.753667,200,11.984809,0.0,0.7638228284966141
-142.173128,200,12.099368,0.0,0.46404152318133396
-3.103924,9,12.105383,1.0,0.03250764319814
-170.15204,200,12.53296,0.0,0.6305978516873755
-111.791808,200,12.678266,0.0,0.73486465173307
-2.255467,8,12.684286,1.0,0.015230032543514783
-22.281275,57,12.716767,1.0,0.045822855102718635
-122.606088,200,12.8383,0.0,0.7898714646083929
-107.159107,200,12.954835,0.0,0.5598283973097324
-99.418213,200,13.074572,0.0,0.47580317793578963
-119.380132,200,13.193086,0.0,0.7033772011762843
-136.098215,200,13.31262,0.0,0.7371154286983217
-104.235914,200,13.431615,0.0,0.7850282628717161
-12.919097,52,13.464606,1.0,0.0414942274120958
-161.610261,200,13.594114,0.0,0.5840269232682467
-89.87711,200,13.713663,0.0,0.49197215297022195
-12.183273,47,14.101957,1.0,0.04400471231672375
-97.890788,200,14.260038,0.0,0.5478097072583797
-5.691144,18,14.274034,1.0,0.04098298446482113
-110.196229,200,14.400097,0.0,0.344715626003522
-104.963937,200,14.517771,0.0,0.4978812604553053
-34.897133,57,14.554568,1.0,0.03652766218112823
-95.015635,200,14.675086,0.0,0.5335237534163199
-106.753789,200,14.790632,0.0,0.4835902985682659
-117.757116,200,14.909146,0.0,0.7270657099704501
-1.760029,6,14.913146,1.0,0.017948583198940885
-135.949541,200,15.033244,0.0,0.7108838002569551
-133.610003,200,15.148782,0.0,0.8547041729313124
-110.087791,200,15.270368,0.0,0.5992671257109549
-0.08573,1,15.272366,1.0,0.045588553693692614
-1.204569,6,15.276368,1.0,0.04936856008376249
-120.51386,200,15.693002,0.0,0.7164752639885945
-108.793295,200,15.836008,0.0,0.5371429144303274
-93.303865,200,15.958536,0.0,0.7744172491854144
-89.363401,200,16.083056,0.0,0.4690865840820769
-97.651606,200,16.201602,0.0,0.5092906019279041
-43.172989,95,16.258138,1.0,0.03303463489261201
-103.905041,200,16.380655,0.0,0.4899580812188638
-131.557858,200,16.51622,0.0,0.8339556810828705
-76.305203,200,16.643239,0.0,0.2605630814677215
-91.44443,200,16.770447,0.0,0.6432529974250208
-97.609378,200,16.906978,0.0,0.41963311838039163
-58.859953,107,17.287601,1.0,0.020915520257751837
-100.64917,200,17.423621,0.0,0.4186013034085914
-124.227745,200,17.54914,0.0,0.8342445395003096
