#{"t_start": 1783874280.4820018, "env_id": null}
r,l,t,is_success,final_distance,tau_sum_total,episode_energy,episode_mean_tau_sum
-99.497768,200,1.737382,0.0,0.4296386633108572,3341.057618856663,20.471151858418686,16.705288094283315
-83.487942,200,1.870423,0.0,0.4270404675429837,3246.7422982473513,19.55391776380606,16.233711491236757
-118.151159,200,1.99823,0.0,0.5764108187479029,3530.4401854375615,20.422913209174137,17.652200927187806
-116.14964,200,2.122786,0.0,0.5880288987520448,3315.563575612509,18.84875064844603,16.577817878062543
-43.516955,200,2.246358,0.0,0.2724509790846617,3491.8096587475297,20.320428121910194,17.45904829373765
-57.167068,200,2.370358,0.0,0.26656494713098083,3601.894205280245,20.28380509577597,18.009471026401226
-133.389966,200,2.488904,0.0,0.6389728797077256,3388.614031073532,18.83273091385562,16.94307015536766
-187.829866,200,2.636336,0.0,0.9222716327251809,3420.576698478946,19.707370039090407,17.10288349239473
-187.183794,200,2.842393,0.0,0.952846302301833,3667.6746368120903,20.613579642541364,18.33837318406045
-72.175188,200,3.04912,0.0,0.31229470231041434,3521.987673253338,20.16473148455808,17.60993836626669
-62.748313,200,3.778424,0.0,0.3489544921085117,3519.551067759536,20.676866160335067,17.597755338797683
-82.755138,200,3.955949,0.0,0.34442426699288053,3631.5232684976263,20.20788474183515,18.157616342488133
-104.496738,200,4.122984,0.0,0.37626111127519346,3102.0331740308425,18.991781287967946,15.510165870154212
-124.414041,200,4.264066,0.0,0.6086728372867404,3477.2610856711876,19.688845251966825,17.38630542835594
-155.383166,200,4.396243,0.0,0.7157529074438121,3413.3336404236,20.327018752522342,17.066668202118002
-109.918247,200,4.53777,0.0,0.600749941160137,3513.7565726434204,19.948494376406686,17.568782863217102
-44.626807,200,4.681803,0.0,0.20107737232581605,3226.960065141227,18.825225471295788,16.134800325706134
-168.477471,200,4.820318,0.0,0.8330986910880307,3432.854008049457,19.331643260799652,17.164270040247285
-169.472663,200,4.956848,0.0,0.856605705208448,3478.265772648035,20.047874705429116,17.391328863240176
-39.404612,200,5.102453,0.0,0.18107083066328827,3400.681015020082,19.964672460827906,17.00340507510041
