mode_norm,radius_bin,success_rate,final_distance,n_episodes,mode_label
pirl,"[0.0,0.2)",0.3225806451612903,0.348510839995772,31,PIRL (PI-reward)
pure,"[0.0,0.2)",0.16129032258064516,0.377950704637917,31,RL puro
pirl,"[0.2,0.4)",0.20105820105820105,0.2981523724156455,189,PIRL (PI-reward)
pure,"[0.2,0.4)",0.15873015873015872,0.2923034420728563,189,RL puro
pirl,"[0.4,0.6)",0.14285714285714285,0.2607577665690856,301,PIRL (PI-reward)
pure,"[0.4,0.6)",0.17940199335548174,0.22392800544594407,301,RL puro
pirl,"[0.6,0.8)",0.020202020202020204,0.3268128731629913,297,PIRL (PI-reward)
pure,"[0.6,0.8)",0.037037037037037035,0.29012623479105654,297,RL puro
pirl,"[0.8,1.0)",0.0056179775280898875,0.4511655573187624,178,PIRL (PI-reward)
pure,"[0.8,1.0)",0.0056179775280898875,0.4099228413303249,178,RL puro
